iteration,sample,llm:anthropic-haiku,llm:anthropic-opus,llm:openai-mini,llm:openai,llm:openrouter-haiku,llm:openrouter-opus,llm:openrouter-openai-mini,llm:openrouter-openai
1,1,404.49,1526.61,1024.9,847.86,1455.89,2730.68,3565.56,6664.64
1,2,610.71,1587.24,1141.9,991.28,1286.91,5677.07,1053.84,1198.42
1,3,385.97,1754.47,748.44,747.03,1862.92,1724.18,1197.61,2325.25
1,4,454.05,1513.77,1918.71,872.87,1009.2,1356.3,1783.87,1071.63
1,5,1051.1,1422,680.81,735.73,1531.38,4343.03,2459.6,1130.09
1,6,388.07,1681.97,761.38,1051.17,1306.06,1458.28,4248.12,1878.1
1,7,396.18,1721.64,981.23,671.78,1897.65,3571.59,1155.79,1248.26
1,8,959.34,1495.94,1118.66,760.9,1012.17,1469.74,1280.72,1166.76
1,9,869.93,1352.94,708.91,815.31,944.96,2212.44,1154.2,3409.24
1,10,483.53,1709.98,479.42,698.43,1312.28,2002.32,1175.72,2479.44
2,1,663.88,1475.76,751.05,625.18,1137.87,2350.08,989.38,1636.65
2,2,600.66,1480.97,852.46,616.63,1437.19,6571.5,1418.53,3702.37
2,3,567.17,1641.86,659.23,803.15,1530.38,1677.74,2018.78,3527.42
2,4,428.02,1718.15,1077.42,617.61,1074.29,1904.02,1107.59,1204.06
2,5,5146.84,1797.96,745.35,735.68,1132.35,1964.79,4071.45,3596.58
2,6,420.97,1582.12,691.07,774.87,961.53,1572.16,3852.31,1544.92
2,7,1208.71,1470.7,567.77,791.92,1148.27,2182.81,4548.91,1880.01
2,8,388.81,1671.59,568.99,842.06,959.56,1390.33,2738.76,2034.83
2,9,348.89,1476.79,828.25,743.08,1247.19,4560.75,3871.63,5081.73
2,10,404.24,1835.94,519.4,811.62,1084.96,3681.31,1760.32,1548.33
3,1,523.16,1446.82,838.03,809.23,1318.44,1371.68,907.8,4529.98
3,2,2465.02,2056.41,751.59,726.44,1233.2,7360.56,1119.13,3468.56
3,3,557.88,2326.4,713.19,857.39,1523.51,7215.3,1425.4,2761.65
3,4,509.72,2012.52,704.85,877.99,949.91,1601.96,1965.74,999.07
3,5,2432.79,1400.37,794.99,796.94,1018.09,1792.87,934.42,3931.7
3,6,447.88,2072,831.86,840.61,2154.81,1556.36,2692.52,1340.52
3,7,415.41,1512.45,626.04,948.71,1285.55,1583.44,2704.65,4000.12
3,8,1059.39,1438.93,528.15,792.66,1205.54,1919.79,1435.64,5458.8
3,9,460.25,1490.29,735.02,1180.02,2200.05,5173.3,2154.82,1123.61
3,10,477.78,1585.92,588.92,980.58,1052.13,3025.73,1022.57,3739.67
4,1,543.66,1480.03,645.01,894.32,2402.14,1434.15,862.37,3238.46
4,2,355.13,1513.97,796.08,804.19,1418.72,1645.33,1111.86,1159.29
4,3,448.45,1698.59,669.54,855.56,1226.31,1379.55,2259.94,3849.6
4,4,1039.14,1413.72,526.08,815.76,1001.38,3213.8,1335.34,2731.77
4,5,406.34,1892.8,642.61,733.76,1097.57,1538.6,1095.47,2788.99
4,6,474.28,1647.77,652.96,845.34,1503.75,10867.64,4164.05,1553.25
4,7,430.79,1388.3,629.12,1082.21,1526.07,1812.11,1012,3203.21
4,8,834.66,1381.99,674.03,867.99,1201.61,1455.06,1036.89,3687.02
4,9,372.02,1613.67,503.94,842.27,1484.78,2924.19,4085.37,2624.76
