sample,e2b:coldstart,e2b:native-exec,e2b:agent-exec,e2b:agent-health,daytona:coldstart,daytona:native-exec,daytona:agent-exec,daytona:agent-health,llm:anthropic-haiku,llm:anthropic-opus,llm:openai-mini,llm:openai,llm:openrouter-haiku,llm:openrouter-opus,llm:openrouter-openai-mini,llm:openrouter-openai
1,275.62,92.79,78.02,67.12,877.77,85.69,219.88,74.41,450.94,1553.75,1536.99,2835.21,1244.98,1473.96,1396.06,1433.62
2,268.66,90.71,88.12,75.23,775.4,77.49,217.78,213.98,413.94,1765.69,1784.84,1436.9,947.17,3096.29,5223.69,1338.79
3,270.32,79.32,78.99,72.99,887.79,219.25,213.3,72.82,364.02,1833.66,1528.37,1371.92,905.19,1931.68,1955.67,1343.46
4,261.78,136.7,68.75,66.36,548.29,78.44,215.66,216.02,334.03,1862.71,674.33,1317.03,1581.46,1565.04,1365.34,5168.12
5,274.68,71.86,66.28,73.52,877.49,78.46,216.09,73.54,425.98,1668.57,1661.03,1094.97,1212.19,6816.51,1335.08,750.79
6,352.09,71.37,74.5,73.8,895.21,79.44,215.82,211.97,444.88,1362,1310.53,1139.34,906.06,2052.73,3142.92,1872.48
7,260.57,79.48,66.74,74.47,426.17,80.3,73.55,72.15,575.33,1644.56,763.82,1968.01,1034.46,1754.11,1428.87,1967.83
8,272.1,79.18,74.19,64.25,554.12,78.29,212.59,216.53,906.96,1336.98,838.71,1264.87,857.59,2969.99,3260.6,1349.59
9,459.19,79.22,75.64,65.42,644.95,79.38,73.98,74.2,405.91,1761.02,1670.81,2071.37,812.91,3803.76,2850.31,1507.24
10,264.98,79.65,77.09,64.95,893.71,82.46,215.48,72.72,394.2,1979.6,812.6,1132.93,1125.54,1846.06,4449.42,6706.31
