iteration,sample,e2b:coldstart,e2b:native-exec,e2b:agent-exec,e2b:agent-health,daytona:coldstart,daytona:native-exec,daytona:agent-exec,daytona:agent-health
1,1,671.84,281.01,86.51,65.1,546.14,30.56,16.73,9.21
1,2,477.87,88.72,78.7,73.45,884.22,12.22,17.44,8.06
1,3,454.4,79.13,65.74,73.73,741.44,25.05,17.71,8.46
1,4,269.78,79.64,68.01,75.48,597.78,11.38,12.05,8.59
1,5,257.13,78.43,73.5,74.49,752.4,22.7,9.96,8.95
1,6,264.77,70.15,66.86,73.13,528.58,23.37,9.36,9.42
1,7,259.08,80.69,65.07,65.19,762.61,22.59,10.22,8.24
1,8,284.71,79.52,74.88,73.14,912.21,23.18,9.67,8.48
1,9,267.49,81.55,74.34,64.15,537.17,23.47,8.84,7.84
1,10,259.03,79.94,66.1,74.31,986.03,11.85,10.52,7.15
2,1,274.56,90.82,88.97,64.38,534.96,25.88,17.3,25.84
2,2,256.63,93.03,77.65,64.52,986.69,20.71,33.49,24.57
2,3,391.69,72.07,66.21,73.42,856.63,16.07,27.17,24.06
2,4,255.19,80.11,68.05,75.08,511.44,18.81,26.62,27.07
2,5,419.51,81.97,74.43,63.96,539.74,16.76,46.54,24.73
2,6,264.87,71.38,74.96,64.72,529.89,17.96,26.2,26.27
2,7,272.54,81.15,65.83,65.17,1114.22,19.2,28.37,24.48
2,8,244.47,72.79,67.03,65.27,534.79,19.23,27.06,27.23
2,9,252.5,78.91,65.38,72.76,547.41,19.72,26.96,9.92
2,10,258.29,73.15,67.47,65.98,875.37,19.66,26.44,24.3
3,1,338.67,82.61,79.35,64.88,1650.48,99.97,91.37,83.22
3,2,244.43,92.4,85.15,72.38,982.65,106.33,36.97,31.69
3,3,246.67,77.86,233.23,64.67,639.6,114.52,31.72,82.06
3,4,268.2,81.27,74.32,230.78,651.56,94.84,98.32,28.64
3,5,251.93,396.4,66.61,66.85,420.14,86.02,98.81,27.97
3,6,261.59,81.06,66.54,66.73,421.02,88.69,34.3,29.16
3,7,250.08,227.44,66.68,64.77,1541.35,107.37,32.62,83.45
3,8,255.71,72.51,65.58,73.5,651.79,97.1,32.23,29.29
3,9,250.78,91.02,66.74,67.67,635.93,130.13,30.98,87.44
3,10,246.49,80.24,65.7,64.46,1282.58,95.91,32.38,29.64
4,1,275.4,82.48,78.45,66.35,1448.41,33.11,26.25,24.08
4,2,434.52,83.59,241.19,73.9,880.74,25.92,15.32,9.97
4,3,347.54,78.82,68.99,73.27,757.69,30.76,9.94,22.87
4,4,381.05,81.08,74.24,234.09,762.68,28.3,24.65,7.71
4,5,263.09,79.1,66.6,65.27,872.74,28.18,10.35,19.89
4,6,261.92,80.09,67.18,72.75,523.71,26.47,9.93,8.98
4,7,286.95,72.05,67.52,77.89,537.87,27.58,22.63,25.34
4,8,245.45,71.55,78.98,64.82,546.51,26.76,8.47,9.46
4,9,250.23,71.49,76.07,73.59,542.77,27.15,11.53,10.72
4,10,270.3,73.2,69.35,65.02,766.23,22.52,10.56,9.09
5,1,279.71,84.93,80.03,63.59,875.66,49.47,14.42,7.95
5,2,255.98,82.07,79.1,64.85,530.12,11.86,14.85,7.36
5,3,388.91,72.52,66.3,64.71,890.63,32.19,9.98,8.64
5,4,315.08,119.63,75.79,73.8,544.06,11.57,9.87,8.42
5,5,259.98,79.3,70.45,73.61,544.94,12.13,21.07,6.83
5,6,272.26,71.14,67.91,73.01,528.88,11.39,8.93,6.78
5,7,312.83,79.7,75.84,65.59,882.25,10.66,9.46,9.14
